,algorithm,num_flows,buff_size,abs_delta_l,abs_delta_l_tail,abs_delta_r,abs_delta_r_tail,ave_delta_l,ave_delta_l_tail,ave_delta_r,ave_delta_r_tail,formatted_algorithm,abs_delta_inv
0,Bbr,1,9.0,1.1574074074074072,0.9746588693957112,2.1360000000000006,2.1120000000000005,1.1574074074074072,0.9523809523809522,2.1360000000000006,2.1240000000000006,BBR,1.0260000000000002
1,Cubic,1,9.0,4.2735042735042725,4.166666666666666,0.5700000000000002,0.4920000000000001,4.2735042735042725,4.166666666666666,0.5700000000000002,0.4920000000000001,Cubic,0.24000000000000005
2,Reno,1,9.0,11.904761904761902,7.936507936507935,0.4740000000000001,0.4380000000000001,11.904761904761902,6.666666666666665,0.4740000000000001,0.4560000000000001,Reno,0.12600000000000003
3,Scalable,1,9.0,3.4013605442176864,3.0864197530864192,0.46200000000000013,0.4380000000000001,3.4013605442176864,2.9761904761904754,0.46200000000000013,0.4500000000000001,Scalable,0.32400000000000007
4,Bbr,2,9.0,1.3227513227513223,0.7507507507507506,2.8320000000000007,2.7840000000000007,1.1888018217132137,0.5287817938420347,2.7120000000000006,2.6880000000000006,BBR,1.3320000000000003
5,Cubic,2,9.0,13.888888888888886,7.575757575757574,0.5040000000000001,0.4080000000000001,10.416666666666664,6.993006993006992,0.4920000000000001,0.4260000000000001,Cubic,0.13200000000000003
6,Reno,2,9.0,9.259259259259258,6.410256410256409,0.6120000000000001,0.5040000000000001,8.101851851851851,5.5803571428571415,0.5880000000000001,0.5400000000000001,Reno,0.15600000000000003
7,Scalable,2,9.0,5.208333333333332,3.787878787878787,0.5520000000000002,0.5160000000000001,4.687499999999999,3.5606060606060597,0.5400000000000001,0.5220000000000001,Scalable,0.26400000000000007
8,Bbr,4,9.0,6.944444444444443,2.083333333333333,6.240000000000001,6.000000000000002,3.111038267288267,1.855114490984056,3.0720000000000005,2.9880000000000004,BBR,0.4800000000000001
9,Cubic,4,9.0,13.888888888888886,6.944444444444443,0.7440000000000002,0.6000000000000001,9.374999999999998,6.944444444444443,0.6780000000000002,0.6240000000000001,Cubic,0.14400000000000004
10,Reno,4,9.0,13.888888888888886,6.944444444444443,1.0080000000000002,0.8160000000000002,10.763888888888888,5.5803571428571415,0.9360000000000003,0.8640000000000002,Reno,0.14400000000000004
11,Scalable,4,9.0,5.952380952380951,3.2051282051282044,0.7200000000000002,0.6480000000000001,4.728835978835978,2.9404189560439553,0.6840000000000002,0.6540000000000001,Scalable,0.31200000000000006
12,Bbr,8,9.0,6.944444444444443,1.302083333333333,5.952000000000002,4.992000000000001,2.413165878239407,1.116664407707003,4.260000000000001,4.065,BBR,0.7680000000000001
13,Cubic,8,9.0,20.83333333333333,6.944444444444443,1.5360000000000003,0.9600000000000002,10.373263888888886,5.1649305555555545,1.2540000000000004,1.1100000000000003,Cubic,0.14400000000000004
14,Reno,8,9.0,20.83333333333333,4.166666666666666,1.4400000000000004,1.0080000000000002,10.199652777777775,3.67063492063492,1.2480000000000002,1.11405,Reno,0.24000000000000005
15,Scalable,8,9.0,20.83333333333333,2.9761904761904754,1.2000000000000002,1.0080000000000002,10.156249999999998,2.619761604136603,1.0320000000000003,0.9720000000000001,Scalable,0.3360000000000001
16,Bbr,16,9.0,5.208333333333332,1.4880952380952377,11.328000000000003,8.640000000000002,2.4507676334422652,1.0410045322154693,6.504000000000002,5.985150000000001,BBR,0.6720000000000002
17,Cubic,16,9.0,10.416666666666664,5.208333333333332,2.4000000000000004,1.7280000000000004,9.765624999999995,3.960503472222221,1.800000000000001,1.6174500000000003,Cubic,0.19200000000000003
18,Reno,16,9.0,10.416666666666664,3.4722222222222214,2.4000000000000004,1.6320000000000003,9.006076388888884,3.081597222222221,1.8540000000000008,1.6593000000000004,Reno,0.2880000000000001
19,Scalable,16,9.0,10.416666666666664,2.083333333333333,1.8240000000000005,1.4400000000000004,8.789062499999996,1.8379009589947084,1.5420000000000007,1.4340000000000008,Scalable,0.4800000000000001
20,Bbr,32,9.0,5.208333333333332,1.0416666666666665,17.664000000000005,10.752000000000002,2.351888020833333,0.9444824847727311,9.426000000000002,8.74815,BBR,0.9600000000000002
21,Cubic,32,9.0,5.208333333333332,2.604166666666666,4.992000000000001,2.880000000000001,5.208333333333333,2.495659722222222,3.018000000000001,2.537999999999999,Cubic,0.38400000000000006
22,Reno,32,9.0,5.208333333333332,2.604166666666666,4.032000000000001,2.4960000000000004,5.208333333333333,2.255394345238095,2.7600000000000002,2.5116,Reno,0.38400000000000006
23,Scalable,32,9.0,5.208333333333332,1.7361111111111107,3.2640000000000007,2.4960000000000004,4.634796626984126,1.301312878885909,2.382000000000001,2.239800000000001,Scalable,0.5760000000000002
24,Bbr,64,9.0,2.604166666666666,0.6510416666666665,22.272000000000006,17.664000000000005,1.4612268518518519,0.6099698513911685,15.713882352941184,13.365270588235294,BBR,1.5360000000000003
25,Cubic,64,9.0,2.604166666666666,1.302083333333333,8.064000000000002,4.608000000000001,2.6041666666666665,1.3252593153761596,4.455724137931033,3.6105931034482754,Cubic,0.7680000000000001
26,Reno,64,9.0,2.604166666666666,1.302083333333333,8.064000000000002,4.224000000000001,2.53314393939394,1.1899518440216121,4.852363636363636,4.375505454545455,Reno,0.7680000000000001
27,Scalable,64,9.0,2.604166666666666,0.8680555555555554,6.144000000000001,4.608000000000001,2.4729489664082696,0.9252530146425493,4.3758139534883735,4.133134883720929,Scalable,1.1520000000000004
28,Bbr,128,9.0,1.302083333333333,0.32552083333333326,52.22400000000001,35.32800000000001,1.1387518274853787,0.4693451290358276,22.724715789473677,20.054905263157906,BBR,3.0720000000000005
29,Cubic,128,9.0,1.302083333333333,0.6510416666666665,18.432000000000006,8.448000000000002,1.2941438008130068,0.7142001234989029,8.344975609756096,6.618380487804876,Cubic,1.5360000000000003
30,Reno,128,9.0,1.302083333333333,0.6510416666666665,13.056000000000003,8.448000000000002,1.2944240196078416,0.7333620385090969,8.222117647058823,7.574512941176467,Reno,1.5360000000000003
31,Scalable,128,9.0,1.302083333333333,0.6510416666666665,13.824000000000003,9.216000000000003,1.3020833333333315,0.6389621286806411,7.339546391752573,6.955546391752576,Scalable,1.5360000000000003
32,Bbr,1,45.0,0.9633911368015412,0.863557858376511,2.1360000000000006,2.1120000000000005,0.9633911368015412,0.8250825082508249,2.1360000000000006,2.1120000000000005,BBR,1.1580000000000004
33,Cubic,1,45.0,1.1737089201877933,1.1737089201877933,1.2540000000000002,1.2180000000000002,1.1737089201877933,1.1737089201877933,1.2540000000000002,1.2180000000000002,Cubic,0.8520000000000001
34,Reno,1,45.0,1.6339869281045747,1.5723270440251569,1.2420000000000002,1.2180000000000002,1.6339869281045747,1.5290519877675837,1.2420000000000002,1.2300000000000002,Reno,0.6360000000000001
35,Scalable,1,45.0,0.9469696969696968,0.9157509157509155,1.2600000000000002,1.2420000000000002,0.9469696969696968,0.9157509157509155,1.2600000000000002,1.2480000000000002,Scalable,1.0920000000000003
36,Bbr,2,45.0,1.2626262626262623,0.9689922480620153,2.6160000000000005,2.5440000000000005,1.0793418051482564,0.8775778850372968,2.436000000000001,2.412000000000001,BBR,1.0320000000000003
37,Cubic,2,45.0,1.2437810945273629,1.2437810945273629,1.5360000000000003,1.3800000000000003,1.2171286425017764,1.208745007357578,1.4880000000000004,1.3560000000000003,Cubic,0.8040000000000003
38,Reno,2,45.0,1.8518518518518514,1.5723270440251569,1.4520000000000004,1.3080000000000003,1.7120894479385043,1.4957264957264953,1.3440000000000003,1.3020000000000003,Reno,0.6360000000000001
39,Scalable,2,45.0,1.2077294685990336,1.1630611770179093,1.6320000000000003,1.5120000000000005,1.1182680264805867,1.077050538525269,1.5420000000000003,1.4760000000000004,Scalable,0.8598000000000013
40,Bbr,4,45.0,1.6025641025641022,1.0162601626016259,3.8400000000000007,3.648000000000001,1.073384081196581,0.7498256011057214,3.1920000000000006,3.144000000000001,BBR,0.9840000000000001
41,Cubic,4,45.0,1.4880952380952377,1.436781609195402,1.8480000000000005,1.5120000000000005,1.3695876536098308,1.3067453503083573,1.6260000000000006,1.4940000000000004,Cubic,0.6960000000000002
42,Reno,4,45.0,2.9761904761904754,1.7361111111111107,2.1600000000000006,1.7520000000000004,2.269491129785247,1.5124692118226597,1.8900000000000006,1.8240000000000003,Reno,0.5760000000000002
43,Scalable,4,45.0,1.4880952380952377,1.1574074074074072,1.6800000000000004,1.5600000000000003,1.1682183557183554,0.9946776037201567,1.5540000000000005,1.4880000000000004,Scalable,0.8640000000000001
44,Bbr,8,45.0,2.3148148148148144,0.9057971014492752,5.376000000000001,4.512000000000001,1.429784210913691,0.7585539272802283,4.548000000000001,4.44,BBR,1.1040000000000003
45,Cubic,8,45.0,2.9761904761904754,1.302083333333333,2.7360000000000007,1.9200000000000004,1.7135122963659142,1.1631055576368075,2.0520000000000005,1.7280000000000004,Cubic,0.7680000000000001
46,Reno,8,45.0,4.166666666666666,1.8939393939393936,3.2640000000000007,2.4000000000000004,3.139467592592592,1.64735183117536,2.5260000000000002,2.412000000000001,Reno,0.5280000000000001
47,Scalable,8,45.0,3.4722222222222214,1.302083333333333,2.2080000000000006,1.8720000000000003,1.8864790234275524,1.1104480905006417,1.8540000000000005,1.7820000000000003,Scalable,0.7680000000000001
48,Bbr,16,45.0,2.604166666666666,0.8680555555555554,7.872000000000002,6.912000000000002,1.4143071434738097,0.7155296486690514,6.265600000000002,5.996800000000002,BBR,1.1520000000000004
49,Cubic,16,45.0,10.416666666666664,2.083333333333333,3.552000000000001,2.3040000000000007,4.36430431547619,1.7425933441558437,2.6100000000000003,2.136000000000001,Cubic,0.4800000000000001
50,Reno,16,45.0,10.416666666666664,2.083333333333333,3.936000000000001,2.5920000000000005,5.284288194444444,1.7399863591269835,2.8680000000000003,2.658000000000001,Reno,0.4800000000000001
51,Scalable,16,45.0,10.416666666666664,1.302083333333333,2.4000000000000004,1.8240000000000005,3.4505208333333326,1.18404093013468,1.974000000000001,1.8490500000000005,Scalable,0.7680000000000001
52,Bbr,32,45.0,5.208333333333332,0.8680555555555554,14.976000000000003,12.672000000000002,2.115026391646762,0.8675449527670972,9.57866666666667,8.818133333333334,BBR,1.1520000000000004
53,Cubic,32,45.0,5.208333333333332,2.604166666666666,5.568000000000001,3.2640000000000007,4.597981770833332,2.107747395833333,3.9780000000000006,3.3143999999999996,Cubic,0.38400000000000006
54,Reno,32,45.0,5.208333333333332,1.7361111111111107,4.800000000000001,2.880000000000001,5.045572916666666,1.7470909804894184,3.450000000000001,3.01515,Reno,0.5760000000000002
55,Scalable,32,45.0,5.208333333333332,1.302083333333333,3.456000000000001,2.4960000000000004,4.665798611111108,1.1195086050724639,2.6340000000000003,2.4720000000000013,Scalable,0.7680000000000001
56,Bbr,64,45.0,2.604166666666666,0.6510416666666665,27.648000000000007,21.888000000000005,1.6936510837278387,0.648863047772052,13.601684210526319,12.186273684210528,BBR,1.5360000000000003
57,Cubic,64,45.0,2.604166666666666,1.302083333333333,7.6800000000000015,4.992000000000001,2.563476562499999,1.2851291232638888,5.081999999999999,4.33065,Cubic,0.7680000000000001
58,Reno,64,45.0,2.604166666666666,1.302083333333333,8.448000000000002,4.992000000000001,2.5600282485875705,1.1252400728842333,5.252338983050846,4.776081355932204,Reno,0.7680000000000001
59,Scalable,64,45.0,2.604166666666666,0.8680555555555554,6.528000000000001,4.992000000000001,2.5828210382513657,0.8618929287726315,4.64577049180328,4.392550819672129,Scalable,1.1520000000000004
60,Bbr,128,45.0,1.302083333333333,0.32552083333333326,53.76000000000001,43.00800000000001,1.0059950086805554,0.44779615305575105,22.416,20.399040000000003,BBR,3.0720000000000005
61,Cubic,128,45.0,1.302083333333333,0.6510416666666665,17.664000000000005,9.216000000000003,1.3020833333333317,0.670508028792912,10.010790697674418,8.34619534883721,Cubic,1.5360000000000003
62,Reno,128,45.0,1.302083333333333,0.6510416666666665,19.200000000000003,9.216000000000003,1.294045781893003,0.6320913421325566,9.822814814814812,8.920888888888882,Reno,1.5360000000000003
63,Scalable,128,45.0,1.302083333333333,0.6510416666666665,14.592000000000004,9.984000000000002,1.302083333333332,0.49817408069483277,9.291851851851847,8.75733333333333,Scalable,1.5360000000000003
64,Bbr,1,89.0,0.7610350076103499,0.7215007215007213,2.2080000000000006,2.1840000000000006,0.7610350076103499,0.7032348804500702,2.2080000000000006,2.1840000000000006,BBR,1.3860000000000003
65,Cubic,1,89.0,0.957854406130268,0.9523809523809522,1.4940000000000004,1.4280000000000004,0.957854406130268,0.9523809523809522,1.4940000000000004,1.4280000000000004,Cubic,1.0500000000000003
66,Reno,1,89.0,1.4880952380952377,1.3661202185792347,1.5000000000000004,1.4460000000000004,1.4880952380952377,1.302083333333333,1.5000000000000004,1.4700000000000004,Reno,0.7320000000000001
67,Scalable,1,89.0,0.7645259938837918,0.7507507507507506,1.5360000000000003,1.5120000000000005,0.7645259938837918,0.7473841554559042,1.5360000000000003,1.5240000000000002,Scalable,1.3320000000000003
68,Bbr,2,89.0,0.809061488673139,0.7002801120448178,2.4720000000000004,2.3520000000000008,0.7765545538603789,0.6803741224562337,2.412000000000001,2.388000000000001,BBR,1.4280000000000004
69,Cubic,2,89.0,1.126126126126126,1.111111111111111,1.8360000000000005,1.7160000000000004,1.059094809094809,1.045751633986928,1.7280000000000004,1.634399999999998,Cubic,0.9000000000000001
70,Reno,2,89.0,1.3661202185792347,1.2820512820512817,1.5960000000000003,1.5120000000000005,1.3341017759562839,1.2265512265512264,1.5600000000000003,1.5120000000000005,Reno,0.7800000000000002
71,Scalable,2,89.0,0.9920634920634919,0.9259259259259257,1.9320000000000004,1.8240000000000005,0.8347851335656211,0.7962487835088028,1.6380000000000003,1.5840000000000003,Scalable,1.0800000000000003
72,Bbr,4,89.0,0.9689922480620153,0.5208333333333333,3.3600000000000008,3.2160000000000006,0.7521564023639753,0.42523375090777044,3.144000000000001,3.096000000000001,BBR,1.9200000000000004
73,Cubic,4,89.0,1.302083333333333,1.225490196078431,2.3280000000000007,1.9680000000000004,1.1304688809284396,1.0696165247795681,1.9680000000000004,1.781099999999997,Cubic,0.8160000000000003
74,Reno,4,89.0,2.3148148148148144,1.4880952380952377,2.4000000000000004,2.2080000000000006,1.8565246146767884,1.2650476297149682,2.2140000000000004,2.1480000000000006,Reno,0.6720000000000002
75,Scalable,4,89.0,1.1904761904761902,0.9689922480620153,2.0640000000000005,1.8720000000000003,1.0343601434026963,0.8893271760918818,1.9380000000000004,1.8780000000000003,Scalable,1.0320000000000003
76,Bbr,8,89.0,1.7361111111111107,0.8680555555555554,6.048000000000002,4.800000000000001,1.0754195016119357,0.6242597771318312,4.548000000000001,4.266000000000001,BBR,1.1520000000000004
77,Cubic,8,89.0,10.416666666666664,1.302083333333333,3.1680000000000006,2.4480000000000004,2.41559450235437,1.216449783161946,2.298,2.2200000000000006,Cubic,0.7680000000000001
78,Reno,8,89.0,4.166666666666666,1.6025641025641022,3.984000000000001,3.2640000000000007,2.6059154965404963,1.3631682704372918,2.8380000000000005,2.730000000000001,Reno,0.6240000000000001
79,Scalable,8,89.0,1.4880952380952377,0.9469696969696968,2.5440000000000005,2.2080000000000006,1.2412653167659937,0.8718222964073827,2.0640000000000005,1.9980000000000002,Scalable,1.0560000000000003
80,Bbr,16,89.0,2.604166666666666,0.7440476190476188,7.6800000000000015,6.336000000000001,1.4123625940032185,0.6553578457720166,6.102000000000002,5.784000000000001,BBR,1.3440000000000003
81,Cubic,16,89.0,5.208333333333332,2.083333333333333,3.8400000000000007,2.7840000000000007,2.261078042328042,1.561795409451659,3.1140000000000017,2.8464,Cubic,0.4800000000000001
82,Reno,16,89.0,10.416666666666664,1.7361111111111107,5.568000000000001,3.1680000000000006,4.053509424603174,1.4418506117724863,3.306000000000001,3.0972000000000004,Reno,0.5760000000000002
83,Scalable,16,89.0,3.4722222222222214,1.0416666666666665,2.6880000000000006,2.2080000000000006,1.703559027777777,0.8837699601148965,2.238000000000001,2.124000000000001,Scalable,0.9600000000000002
84,Bbr,32,89.0,5.208333333333332,0.8680555555555554,12.288000000000002,10.560000000000002,1.8240600705878482,0.6592753663178139,9.457777777777778,8.764622222222224,BBR,1.1520000000000004
85,Cubic,32,89.0,5.208333333333332,1.7361111111111107,7.6800000000000015,3.8400000000000007,3.526475694444444,1.664677372685185,3.8100000000000005,3.4051499999999995,Cubic,0.5760000000000002
86,Reno,32,89.0,5.208333333333332,1.7361111111111107,5.184000000000001,3.2640000000000007,4.340277777777777,1.4241536458333333,3.852000000000001,3.4663500000000003,Reno,0.5760000000000002
87,Scalable,32,89.0,5.208333333333332,1.302083333333333,3.648000000000001,2.6880000000000006,3.4179687499999982,0.9516939691616902,2.8140000000000005,2.64165,Scalable,0.7680000000000001
88,Bbr,64,89.0,2.604166666666666,0.6510416666666665,24.576000000000004,19.968000000000004,1.3411871693121689,0.5511545925268565,13.701120000000003,12.678912,BBR,1.5360000000000003
89,Cubic,64,89.0,2.604166666666666,1.302083333333333,6.528000000000001,5.376000000000001,2.563476562499999,1.2287178424873737,5.297999999999997,4.871850000000002,Cubic,0.7680000000000001
90,Reno,64,89.0,2.604166666666666,1.302083333333333,8.064000000000002,4.608000000000001,2.562163978494623,1.1415608647733946,5.332645161290319,4.828954838709679,Reno,0.7680000000000001
